dt_txt,main_temp
2026-05-08 12:00:00,5.58
2026-05-08 15:00:00,12.05
2026-05-08 18:00:00,17.3
2026-05-08 21:00:00,16.5
2026-05-09 00:00:00,14.86
2026-05-09 03:00:00,11.83
2026-05-09 06:00:00,10.71
2026-05-09 09:00:00,10.45
2026-05-09 12:00:00,11.74
2026-05-09 15:00:00,16.93
2026-05-09 18:00:00,20.45
2026-05-09 21:00:00,16.69
2026-05-10 00:00:00,13.47
2026-05-10 03:00:00,11.65
2026-05-10 06:00:00,11.38
2026-05-10 09:00:00,10.17
2026-05-10 12:00:00,9.84
2026-05-10 15:00:00,13.16
2026-05-10 18:00:00,14.6
2026-05-10 21:00:00,14.34
2026-05-11 00:00:00,13.04
2026-05-11 03:00:00,11.37
2026-05-11 06:00:00,9.9
2026-05-11 09:00:00,7.53
2026-05-11 12:00:00,7.54
2026-05-11 15:00:00,10.54
2026-05-11 18:00:00,12.43
2026-05-11 21:00:00,12.25
2026-05-12 00:00:00,9.65
2026-05-12 03:00:00,8.48
2026-05-12 06:00:00,8.32
2026-05-12 09:00:00,7.73
2026-05-12 12:00:00,8.78
2026-05-12 15:00:00,6.66
2026-05-12 18:00:00,8.3
2026-05-12 21:00:00,12.24
2026-05-13 00:00:00,15.01
2026-05-13 03:00:00,13.29
2026-05-13 06:00:00,12.49
2026-05-13 09:00:00,11.78
